placename,species,pig_present_at_site,radtime
B15,Wild Pig,NA,0.440695636
B15,Wild Pig,NA,1.095194106
B15,Wild Pig,NA,1.374446786
B15,White-tailed Deer,yes,1.610066235
B15,Wild Pig,NA,5.358160804
B15,Wild Pig,NA,0
B15,Wild Pig,NA,0.314159265
B15,Wild Pig,NA,0.894481242
B15,Wild Pig,NA,1.330813555
B15,Wild Pig,NA,5.35379748
B15,Wild Pig,NA,5.947209426
B15,Wild Pig,NA,6.248278722
B15,Wild Pig,NA,0.274889357
B15,Wild Pig,NA,1.461713249
B15,White-tailed Deer,yes,1.610066235
B15,Wild Pig,NA,5.253441049
B15,Wild Pig,NA,0.305432619
B15,Wild Pig,NA,1.082104136
B15,Wild Pig,NA,1.317723585
B16,Wild Pig,NA,5.249077725
B16,Wild Pig,NA,1.49225651
B16,White-tailed Deer,yes,4.873831936
B16,Wild Pig,NA,5.733406593
B16,Wild Pig,NA,0.728674963
B16,Wild Pig,NA,1.483529864
B16,Wild Pig,NA,1.99403867
B16,Wild Pig,NA,0.392699082
B16,White-tailed Deer,yes,4.974188368
B16,Wild Pig,NA,5.532693729
B16,Wild Pig,NA,0.231256126
B16,Wild Pig,NA,5.362524127
B16,Wild Pig,NA,0.082903139
B16,Wild Pig,NA,0.802851456
B16,Wild Pig,NA,1.557706357
B16,White-tailed Deer,yes,5.209807817
B16,Wild Pig,NA,5.336344188
B16,Wild Pig,NA,0.157079633
B16,Wild Pig,NA,0.628318531
B16,Wild Pig,NA,0.898844565
B16,White-tailed Deer,yes,1.49225651
B16,Wild Pig,NA,1.788962483
B16,White-tailed Deer,yes,4.812745412
B16,White-tailed Deer,yes,5.057091508
B16,Wild Pig,NA,5.331980865
B16,Wild Pig,NA,0.872664626
B16,Wild Pig,NA,1.247910415
B16,Wild Pig,NA,1.64497282
B16,White-tailed Deer,yes,1.710422667
B17,White-tailed Deer,no,4.520402763
B17,White-tailed Deer,no,1.793325806
B17,White-tailed Deer,no,3.673918075
B17,White-tailed Deer,no,1.710422667
B17,Wild Pig,NA,2.338741198
B18,White-tailed Deer,no,5.235987756
B18,White-tailed Deer,no,5.484697174
B18,White-tailed Deer,no,5.663593423
B18,White-tailed Deer,no,0.562868684
B18,White-tailed Deer,no,2.522000769
B18,White-tailed Deer,no,4.057890511
B18,White-tailed Deer,no,5.270894341
B18,White-tailed Deer,no,2.186024888
B19,Wild Pig,NA,0.074176493
B19,Wild Pig,NA,1.313360262
B19,Wild Pig,NA,0.925024504
B19,Wild Pig,NA,1.675516082
B19,White-tailed Deer,yes,3.887720909
B19,White-tailed Deer,yes,4.860741967
B19,Wild Pig,NA,1.631882851
B19,White-tailed Deer,yes,3.071779484
B19,White-tailed Deer,yes,3.342305518
B19,White-tailed Deer,yes,3.51247512
B19,White-tailed Deer,yes,5.310164249
B19,Wild Pig,NA,0.567232007
B19,Wild Pig,NA,1.047197551
B19,Wild Pig,NA,5.078908123
B19,Wild Pig,NA,6.134832321
B19,Wild Pig,NA,0.078539816
B19,Wild Pig,NA,1.025380936
B19,Wild Pig,NA,1.566433004
B19,Wild Pig,NA,5.345070834
B19,Wild Pig,NA,0.052359878
B19,Wild Pig,NA,0.388335759
B19,Wild Pig,NA,1.736602606
B19,Wild Pig,NA,4.834562028
B19,Wild Pig,NA,5.628686838
B19,Wild Pig,NA,5.864306287
B19,Wild Pig,NA,6.021385919
B19,Wild Pig,NA,0.095993109
B19,Wild Pig,NA,0.615228561
B19,Wild Pig,NA,1.165007276
B19,White-tailed Deer,yes,1.740965929
B19,Wild Pig,NA,2.050761871
B20,White-tailed Deer,no,4.948008429
B20,White-tailed Deer,no,0.71122167
B20,White-tailed Deer,no,1.614429558
B20,White-tailed Deer,no,5.166174586
B20,White-tailed Deer,no,1.649336143
B20,White-tailed Deer,no,1.841322361
B20,Wild Pig,NA,5.083271446
B20,White-tailed Deer,yes,5.301437603
B20,White-tailed Deer,yes,0.986111027
B20,White-tailed Deer,yes,1.579522973
B21,White-tailed Deer,no,5.379977419
B21,Wild Pig,NA,5.502150467
B21,Wild Pig,NA,6.130468998
B21,White-tailed Deer,yes,0.266162711
B21,Wild Pig,NA,0.763581548
B21,Wild Pig,NA,1.579522973
B21,Wild Pig,NA,5.091998093
B21,Wild Pig,NA,5.445427266
B21,Wild Pig,NA,5.746496562
B21,Wild Pig,NA,0.567232007
B21,Wild Pig,NA,0.881391272
B21,Wild Pig,NA,1.108284075
B21,Wild Pig,NA,1.727875959
B21,Wild Pig,NA,2.487094184
B21,White-tailed Deer,yes,3.887720909
B21,Wild Pig,NA,5.091998093
B21,Wild Pig,NA,5.327617542
B21,Wild Pig,NA,0.20943951
B21,Wild Pig,NA,0.589048623
B21,Wild Pig,NA,0.750491578
B21,Wild Pig,NA,1.112647398
B21,Wild Pig,NA,1.404990048
B21,Wild Pig,NA,1.754055898
B21,Wild Pig,NA,2.055125194
B21,Wild Pig,NA,5.030911569
B21,Wild Pig,NA,5.942846103
B21,Wild Pig,NA,6.108652382
B21,Wild Pig,NA,0.13962634
B21,Wild Pig,NA,0.584685299
B21,Wild Pig,NA,1.117010721
B21,Wild Pig,NA,1.413716694
B21,White-tailed Deer,yes,4.009893956
B21,Wild Pig,NA,4.878195259
B21,White-tailed Deer,yes,5.083271446
B21,Wild Pig,NA,5.554510344
B21,Wild Pig,NA,0.685041731
B21,Wild Pig,NA,0.833394718
B21,Wild Pig,NA,1.042834228
B21,Wild Pig,NA,1.457349925
B21,Wild Pig,NA,1.946042116
B21,Wild Pig,NA,4.616395872
B21,Wild Pig,NA,4.852015321
B21,Wild Pig,NA,5.379977419
B21,Wild Pig,NA,5.846852994
B21,Wild Pig,NA,0.244346095
B21,Wild Pig,NA,0.859574657
B21,Wild Pig,NA,1.269727031
B21,Wild Pig,NA,1.740965929
B21,White-tailed Deer,yes,2.168571596
B21,Wild Pig,NA,4.201880174
B21,Wild Pig,NA,4.529129409
B21,Wild Pig,NA,4.830198705
B21,Wild Pig,NA,5.070181477
B21,Wild Pig,NA,5.29707428
B21,Wild Pig,NA,6.265732015
B21,Wild Pig,NA,0.388335759
B21,Wild Pig,NA,0.72431164
B21,Wild Pig,NA,1.378810109
B21,Wild Pig,NA,1.596976266
B22,White-tailed Deer,no,5.746496562
B22,White-tailed Deer,no,6.047565858
B22,White-tailed Deer,no,0.314159265
B22,White-tailed Deer,no,1.007927643
B22,White-tailed Deer,no,1.649336143
B22,White-tailed Deer,no,5.105088062
B22,White-tailed Deer,no,0.030543262
B22,White-tailed Deer,no,0.619591884
B22,White-tailed Deer,no,0.885754595
B22,White-tailed Deer,no,1.448623279
B22,White-tailed Deer,no,1.775872514
B23,Wild Pig,NA,5.349434157
B23,Wild Pig,NA,0.239982772
B23,Wild Pig,NA,0.911934534
B23,Wild Pig,NA,0.13962634
B23,Wild Pig,NA,0.85084801
B23,Wild Pig,NA,1.370083463
B23,Wild Pig,NA,1.85441233
B23,Wild Pig,NA,5.523967083
B23,Wild Pig,NA,5.934119457
B23,Wild Pig,NA,1.138827337
